datetime,close,open,high,low,preclose,volume,amount,cjbs
2005-02-23,0.876,0.881,0.882,0.866,0.887,1269742592,1111793152,0
2005-02-24,0.876,0.876,0.876,0.868,0.876,451614208,394141216,0
2005-02-25,0.88,0.877,0.887,0.875,0.876,506460704,446597984,0
2005-02-28,0.872,0.878,0.879,0.87,0.88,187965200,164467456,0
2005-03-01,0.867,0.87,0.873,0.865,0.872,208094464,180573600,0
2005-03-02,0.859,0.867,0.874,0.857,0.867,249274640,215572192,0
2005-03-03,0.859,0.858,0.861,0.854,0.859,100153216,85830280,0
2005-03-04,0.86,0.859,0.865,0.857,0.859,129800192,111715104,0
2005-03-07,0.862,0.86,0.865,0.86,0.86,116789648,100713448,0
2005-03-08,0.874,0.864,0.875,0.863,0.862,298505376,259486064,0
2005-03-09,0.873,0.874,0.878,0.869,0.874,200006304,174863936,0
2005-03-10,0.853,0.872,0.872,0.852,0.873,333859744,287003264,0
2005-03-11,0.855,0.853,0.856,0.85,0.853,132344544,112888760,0
2005-03-14,0.857,0.855,0.864,0.845,0.855,233509504,199760624,0
2005-03-15,0.843,0.856,0.856,0.842,0.857,282961632,239546928,0
2005-03-16,0.834,0.841,0.843,0.832,0.843,219444992,183701632,0
2005-03-17,0.828,0.834,0.837,0.827,0.834,130062536,108082312,0
2005-03-18,0.824,0.828,0.832,0.821,0.828,227792256,188092688,0
2005-03-21,0.824,0.824,0.826,0.821,0.824,103273000,85036480,0
2005-03-22,0.808,0.824,0.825,0.807,0.824,162294080,131858192,0
2005-03-23,0.804,0.807,0.811,0.8,0.808,145295504,117013256,0
2005-03-24,0.806,0.802,0.807,0.797,0.804,118388056,94998080,0
2005-03-25,0.805,0.806,0.809,0.802,0.806,108223368,87190624,0
2005-03-28,0.802,0.803,0.805,0.797,0.805,71266320,57019416,0
2005-03-29,0.805,0.802,0.811,0.802,0.802,144018032,116246832,0
2005-03-30,0.793,0.804,0.804,0.791,0.805,192659440,153413200,0
2005-03-31,0.794,0.792,0.795,0.786,0.793,128738280,101747480,0
2005-04-01,0.829,0.793,0.834,0.79,0.794,502390592,409666112,0
2005-04-04,0.81,0.814,0.818,0.804,0.829,232991552,188905456,0
2005-04-05,0.805,0.808,0.813,0.802,0.81,129587048,104559656,0
2005-04-06,0.818,0.802,0.825,0.799,0.805,261361040,212119440,0
2005-04-07,0.824,0.818,0.839,0.815,0.818,363451808,301938688,0
2005-04-08,0.836,0.824,0.836,0.819,0.824,243258272,201477216,0
2005-04-11,0.83,0.833,0.841,0.827,0.836,163205840,135974256,0
2005-04-12,0.821,0.83,0.832,0.82,0.83,211489792,174409120,0
2005-04-13,0.84,0.831,0.842,0.83,0.821,403705536,337790240,0
2005-04-14,0.828,0.84,0.841,0.828,0.84,207716080,173240368,0
2005-04-15,0.818,0.827,0.827,0.817,0.828,280301120,230119728,0
2005-04-18,0.808,0.815,0.819,0.805,0.818,165191136,133944472,0
2005-04-19,0.811,0.808,0.812,0.804,0.808,81425680,65792240,0
2005-04-20,0.797,0.81,0.81,0.796,0.811,218490288,174772096,0
2005-04-21,0.797,0.798,0.804,0.793,0.797,238539376,190472800,0
2005-04-22,0.798,0.799,0.802,0.795,0.797,246711088,196930000,0
2005-04-25,0.79,0.797,0.797,0.786,0.798,316891808,250442304,0
2005-04-26,0.793,0.79,0.796,0.788,0.79,227232720,179953920,0
2005-04-27,0.788,0.796,0.796,0.787,0.793,223597024,176930960,0
2005-04-28,0.797,0.787,0.798,0.783,0.788,310325824,245322576,0
2005-04-29,0.788,0.795,0.798,0.785,0.797,225864064,179141488,0
2005-05-09,0.78,0.8,0.801,0.779,0.788,334731008,263073120,0
2005-05-10,0.783,0.78,0.785,0.77,0.78,316123776,245236864,0
2005-05-11,0.777,0.782,0.784,0.776,0.783,212492768,165612896,0
2005-05-12,0.76,0.775,0.777,0.759,0.777,269280416,206669536,0
2005-05-13,0.762,0.758,0.769,0.755,0.76,196727136,149807952,0
2005-05-16,0.75,0.762,0.762,0.747,0.762,148144832,111490040,0
2005-05-17,0.754,0.75,0.76,0.746,0.75,118426168,89362440,0
