datetime,1年中债国债到期收益率,3个月中债国债到期收益率,10年中债国债到期收益率,纳斯达克综合指数
2015/2/9,3.0856,3.1228,3.4236,4726.01
2015/2/10,3.0932,3.1516,3.4299,4787.65
2015/2/11,3.0928,3.1516,3.3955,4801.18
2015/2/12,3.0872,3.1388,3.3865,4857.61
2015/2/13,3.0859,3.1088,3.3552,4893.84
2015/2/15,3.0656,3.1135,3.3625,
2015/2/16,3.0801,3.0756,3.3374,
2015/2/17,3.0624,3.0756,3.3373,4899.27
2015/2/18,,,,4906.36
2015/2/19,,,,4924.7
2015/2/20,,,,4955.97
2015/2/23,,,,4960.97
2015/2/24,,,,4968.12
2015/2/25,3.0353,3.0656,3.349,4967.14
2015/2/26,3.0353,3.0491,3.3594,4987.89
2015/2/27,3.0438,3.0691,3.3745,4963.53
2015/2/28,3.0396,3.0991,3.3602,
2015/3/2,3.0488,3.0811,3.3883,5008.1
2015/3/3,3.0341,3.0511,3.4022,4979.9
2015/3/4,3.0291,3.0811,3.3869,4967.14
2015/3/5,3.0518,3.0811,3.4369,4982.81
2015/3/6,3.0576,3.1061,3.4753,4927.37
2015/3/9,3.0787,3.191,3.4922,4942.44
2015/3/10,3.0812,3.1942,3.5228,4859.8
2015/3/11,3.0615,3.1763,3.4466,4849.94
2015/3/12,3.0495,3.1469,3.4412,4893.29
2015/3/13,3.0944,3.1676,3.4879,4871.76
2015/3/16,3.0944,3.1496,3.5301,4929.51
2015/3/17,3.1142,3.1496,3.5428,4937.43
2015/3/18,3.1042,3.1303,3.5519,4982.83
2015/3/19,3.0992,3.1192,3.5348,4992.38
2015/3/20,3.102,3.1192,3.4958,5026.42
2015/3/23,3.1032,3.1424,3.4933,5010.97
2015/3/24,3.1031,3.1374,3.4841,4994.73
2015/3/25,3.1183,3.1574,3.5037,4876.52
2015/3/26,3.1483,3.2063,3.544,4863.36
2015/3/27,3.1833,3.2736,3.5678,4891.22
2015/3/30,3.1833,3.2936,3.5849,4947.44
2015/3/31,3.2236,3.2673,3.6483,4900.89
2015/4/1,3.2186,3.2267,3.5997,4880.23
2015/4/2,3.1743,3.137,3.5438,4886.94
2015/4/3,3.1753,3.137,3.572,
2015/4/6,,,,4917.32
2015/4/7,3.1801,3.153,3.5987,4910.23
2015/4/8,3.1802,3.119,3.6938,4950.82
2015/4/9,3.1202,3.019,3.704,4974.57
2015/4/10,3.1602,3.039,3.6947,4995.98
2015/4/13,3.1602,3.0072,3.6685,4988.25
2015/4/14,3.1302,3.0327,3.6211,4977.29
2015/4/15,3.1002,3.0501,3.5954,5011.02
2015/4/16,3.0729,3.0498,3.56,5007.79
2015/4/17,3.1628,3.0448,3.5627,4931.81
2015/4/20,3.0872,2.955,3.4554,4994.6
2015/4/21,3.0092,2.885,3.4055,5014.1
2015/4/22,3.0152,2.8283,3.4052,5035.17
2015/4/23,2.9713,2.8199,3.4151,5056.06
2015/4/24,2.9276,2.8198,3.4454,5092.09
2015/4/27,2.8663,2.6971,3.3952,5060.25
2015/4/28,2.8266,2.7071,3.3804,5055.42
2015/4/29,2.8267,2.7071,3.4,5023.64
2015/4/30,2.694,2.7044,3.3503,4941.42
2015/5/1,,,,5005.39
2015/5/4,2.7296,2.6244,3.3804,5016.93
2015/5/5,2.7278,2.6531,3.4006,4939.33
2015/5/6,2.708,2.5531,3.456,4919.65
