datetime,option_type,atm_term_structure
2015-02-09,沽,-0.004943524202378646
2015-02-09,购,-0.008254100279715387
2015-02-10,沽,-0.002487184646390794
2015-02-10,购,-0.005799617652861022
2015-02-11,沽,0.005871406829295512
2015-02-11,购,-0.004733880442868316
2015-02-12,沽,0.009296012921041746
2015-02-12,购,-0.00042048145971139704
2015-02-13,沽,0.006730772178891131
2015-02-13,购,0.0007052901631826092
2015-02-16,沽,0.005412340162958778
2015-02-16,购,-0.0031467344091430233
2015-02-17,沽,-0.0004980889151601275
2015-02-17,购,-0.004727974872034138
2015-02-25,沽,0.0026415764838164544
2015-02-25,购,4.257547709690668e-05
2015-02-26,沽,0.0063344112965943115
2015-02-26,购,-0.005472509096244399
2015-02-27,沽,-0.002700802482313808
2015-02-27,购,-0.008270804890451778
2015-03-02,沽,0.0032869698578988082
2015-03-02,购,-0.008453792319994536
2015-03-03,沽,-0.0003023195642955112
2015-03-03,购,-0.007477827587507121
2015-03-04,沽,0.006766295888291573
2015-03-04,购,-0.0045922595607165995
2015-03-05,沽,0.003582711764183766
2015-03-05,购,-0.0032471854987789956
2015-03-06,沽,0.005876809766065921
2015-03-06,购,0.004141255523429257
2015-03-09,沽,0.010094155048560394
2015-03-09,购,-0.0019321120140604136
2015-03-10,沽,0.01088583163333442
2015-03-10,购,0.006161338846816083
2015-03-11,沽,0.013319011745116769
2015-03-11,购,0.009897390776584133
2015-03-12,沽,0.0142162233839194
2015-03-12,购,0.006738238521966094
2015-03-13,沽,0.014352928927605434
2015-03-13,购,0.0024754724900070495
2015-03-16,沽,0.02281687641035364
2015-03-16,购,0.011560570833725484
2015-03-17,沽,0.022225509296695974
2015-03-17,购,0.004948517963579193
2015-03-18,沽,0.01970545728337954
2015-03-18,购,0.00032137959018021243
2015-03-19,沽,0.014884160943848515
2015-03-19,购,-0.006421002621912341
2015-03-20,沽,0.02063050953764458
2015-03-20,购,-0.008583159041769775
2015-03-23,沽,0.01849736663689574
2015-03-23,购,0.006916773002230594
2015-03-24,沽,0.0367968698402892
2015-03-24,购,0.0015332919298692404
2015-03-25,沽,0.0699644883307736
2015-03-25,购,-0.00947326020766496
2015-03-26,沽,-0.01600697014931114
2015-03-26,购,-0.01097121243104437
2015-03-27,沽,-0.009924480257993112
2015-03-27,购,-0.020443669693012527
2015-03-30,沽,-0.004284494825698632
2015-03-30,购,-0.019054109073705132
